股票代码,code,market_code,涨停原因类别[20260612]
000032.SZ,000032,33,半导体洁净室+中国电子云增资+AI算力
000099.SZ,000099,33,低空经济+海上油气直升机+央企
000151.SZ,000151,33,成套设备出口+储能+央企+一带一路
000506.SZ,000506,33,黄金+一季报扭亏+国企
000510.SZ,000510,33,石英砂+锡钨钽+氯碱化工+减持终止
000547.SZ,000547,33,商业航天+蓝军装备+通信与指控装备+央企
000630.SZ,000630,33,PCB铜箔+全产业链铜+ECSA分红+安徽国资
000737.SZ,000737,33,铜+PCB概念+山西国资+一季报增长
000751.SZ,000751,33,金属铟+黄金概念+一季报增长
000758.SZ,000758,33,铜冶炼项目+国际工程+海外资源并购+央企
000759.SZ,000759,33,零售+本地生活+国企
000768.SZ,000768,33,电子特气项目启动+C919大飞机+分红+央企
000820.SZ,000820,33,储能+再生铜+冶金工程
000833.SZ,000833,33,
000969.SZ,000969,33,金属材料+金刚石铜复合材料+非晶纳米晶+可控核聚变
001206.SZ,001206,33,个护用品+产品提价+宠物卫生用品
001233.SZ,001233,33,全钢巨胎+国产替代+俄罗斯建厂+订单增长
001257.SZ,001257,33,钼替代钨+钼业龙头+洛阳国资
001299.SZ,001299,33,实控人增持+储能并购+燃气运营
001330.SZ,001330,33,AI影视+AI短剧+《四渡》定档
001359.SZ,001359,33,电子布+云母绝缘+固态电池
001360.SZ,001360,33,黄金开采+矿山装备+高端装备
001378.SZ,001378,33,功能性BOPP薄膜+锂电池+一季报增长
001696.SZ,001696,33,低空经济+航空发动机+资产置换+分红
002085.SZ,002085,33,低空经济+资产出售+通航飞机
002088.SZ,002088,33,新能源电池+陶瓷纤维+节能降碳
002190.SZ,002190,33,航空零部件+商业航天+低空经济+C919
002193.SZ,002193,33,ST摘帽预期+精纺呢绒+外销占比高
002200.SZ,002200,33,生态环保+资产注入预期+一季报扭亏+摘帽
002203.SZ,002203,33,铜箔+微通道冷板+固态电池+一季报增长
002207.SZ,002207,33,
002214.SZ,002214,33,新能源订单+摘帽预期+红外芯片
002215.SZ,002215,33,蓝莓产业链+一季度业绩增长+股权激励解禁
002270.SZ,002270,33,特高压+变压器+机器人概念
002306.SZ,002306,33,撤销退市风险警示+光伏边框+餐饮团膳
002345.SZ,002345,33,培育钻石+黄金珠宝+一季报增长
002421.SZ,002421,33,
002457.SZ,002457,33,中标+管材+PCCP龙头
002496.SZ,002496,33,氨氢新能源+小分子功能肥+摘帽申请
002514.SZ,002514,33,
002597.SZ,002597,33,甜味剂+双氯磺酰亚胺酸+固态电池+增持完成
002637.SZ,002637,33,表面活性剂龙头+油脂化学品+股份回购+高管增持
002667.SZ,002667,33,
002669.SZ,002669,33,
002733.SZ,002733,33,AIDC项目交付+算力UPS电源+员工持股计划
002742.SZ,002742,33,更名+资产注入+原料药
002789.SZ,002789,33,申请摘星+建筑装饰+珠海国资
002812.SZ,002812,33,隔膜龙头+固态电池+业绩增长
002830.SZ,002830,33,家装龙头+成立AI公司+高送转
002856.SZ,002856,33,
002882.SZ,002882,33,固态电池量产+电缆+比亚迪产业链+分红
002927.SZ,002927,33,固态断路器+AIDC+数据中心应用
002935.SZ,002935,33,商业航天+原子钟+央企
002962.SZ,002962,33,
002969.SZ,002969,33,追觅入主+微博公布俞浩禁言原因
002971.SZ,002971,33,六氟化钨+电子特气+硅基功能性新材料
002976.SZ,002976,33,光通信散热布局+5G+空气悬架+特斯拉产业链
002985.SZ,002985,33,军工+商业航天+起降系统
002997.SZ,002997,33,机器人合作+汽车模具+轻量化+可转债推进
003009.SZ,003009,33,商业航天+小型制导火箭+一季度扭亏+央企
300377.SZ,300377,33,金融科技+AI应用+信创+资产托管
300581.SZ,300581,33,军工装备+航空发动机+一季报增长
301176.SZ,301176,33,PCB铜箔+AI算力+产能扩张
301323.SZ,301323,33,重组并购+钐铁氮+芯片电感
301348.SZ,301348,33,拟收购芯翼+半导体封测+存储芯片
600067.SH,600067,17,机器人概念+电磁线+一季报增长
600084.SH,600084,22,
600187.SH,600187,22,
600229.SH,600229,17,IP运营+版权开发+AI应用+国企
600292.SH,600292,17,水电+资产注入+央企国资
600378.SH,600378,17,
600391.SH,600391,17,长江发动机+燃气轮机+外贸订单+央企
600403.SH,600403,17,
600497.SH,600497,17,钼资源+锗+铅锌龙头+央企
600531.SH,600531,17,白银龙头+泛半导体高纯金属材料+定增+国企
600536.SH,600536,17,
600537.SH,600537,22,预重整+签订投资协议+光伏组件
600539.SH,600539,17,拟收购利珀科技+半导体封装+机器视觉+AI应用
600567.SH,600567,17,回购注销+瓦楞纸涨价+京东合作
600576.SH,600576,17,旅游主业+低空文旅
600601.SH,600601,17,AI算力PCB+光模块+珠海国资
600791.SH,600791,17,
600857.SH,600857,17,零售+黄金+杭州金帝入主
600862.SH,600862,17,T1100碳纤维+航空复材+低空经济+央企
600906.SH,600906,17,券商+河北国资+一季报增长
600961.SH,600961,17,铟金属+黄金+铅锌龙头+央企
600962.SH,600962,17,半导体工程+并购重组+浓缩苹果汁+央企
601233.SH,601233,17,涤纶长丝+一季报增长+互联网金融
601609.SH,601609,17,铜加工龙头+算力散热+稀土永磁
601696.SH,601696,17,证券+中国银行背景+期货+业绩增长
601718.SH,601718,22,ST摘帽预期+央企+军需品
601958.SH,601958,17,钼基新材+存储芯片材料+陕西国资
603014.SH,603014,17,并购重组+血液净化+医药包材
603020.SH,603020,17,香精香料+鱼油+收购进展+一季报增长
603036.SH,603036,17,油气钻采+天然气
603065.SH,603065,17,跨界磷化铟衬底+光稳定剂
603078.SH,603078,17,
603103.SH,603103,17,
603120.SH,603120,17,半导体清洗+催化新材料+专精特新
603155.SH,603155,17,
603180.SH,603180,17,分红+飞流AI+家装设计+北美布局
603211.SH,603211,17,
603225.SH,603225,17,涤纶长丝+埃及项目+一季报增长
603261.SH,603261,22,撤销*ST申请+低空经济+无人机+航空装备
603272.SH,603272,22,
603335.SH,603335,17,收购半导体+汽车轮毂+股份转让
603519.SH,603519,17,股权转让+第三代半导体+家电复合材料+高股息
603528.SH,603528,17,驾考新规+智慧驾培+人形机器人+高管增持
603657.SH,603657,17,
603738.SH,603738,17,光模块晶振+高频晶振+人形机器人
603813.SH,603813,22,
603815.SH,603815,17,基建+QC成果获奖+一带一路
603843.SH,603843,22,绿色算力+矿业+预重整
603931.SH,603931,17,
603938.SH,603938,17,
603959.SH,603959,22,人形机器人+ST板块+重整预期
603990.SH,603990,17,康养机器人+AI医疗+绵阳国资
603993.SH,603993,17,钼代钨+钼钨金属+一季报增长
605198.SH,605198,17,浓缩果汁龙头+H股回购+产能并购整合
605298.SH,605298,17,半导体注入猜测+轨交配套+一季报增长
688010.SH,688010,17,商业航天+特种光学镜头+增持
688163.SH,688163,17,抗蛇毒血清+独家品种
920634.BJ,920634,151,金属锌+铅锌+军工应用
