股票代码,涨停原因类别[20260306],code,market_code
000833.SZ,硫铁矿+光伏银粉+业绩预增+广东国资,000833,33
600599.SH,,600599,22
301205.SZ,高速光模块+CPO+外销,301205,33
000638.SZ,退市风险博弈+军工+粮食,000638,33
603269.SH,数据中心+冷却塔+核电,603269,17
603880.SH,创可贴龙头+一带一路+医疗耗材,603880,17
600108.SH,粮食概念+玉米种子+土地流转+甘肃国资,600108,17
603063.SH,氢能+储能+风电,603063,17
001326.SZ,机器人轴承+LED灯具+北美植物照明+储能,001326,33
000545.SZ,钛白粉+减产+重组预期,000545,33
000677.SZ,低空经济+军工材料+帘子布,000677,33
000818.SZ,算力租赁+800G光模块+化工+武汉国资,000818,33
601616.SH,电网设备+变压器+数据中心,601616,17
002731.SZ,黄金+锂盐+ST板块,002731,33
600319.SH,PVDC+烧碱+潍坊国资+重大资产重组,600319,17
000720.SZ,电网设备+央企,000720,33
301218.SZ,智能电网+智慧城市+控制权变更,301218,33
601868.SH,算电协同+央企,601868,17
600355.SH,,600355,22
605286.SH,算电协同+储能中标+电梯部件,605286,17
600676.SH,资产置换+上海国资+汽车拆解+物流,600676,17
605399.SH,功能性硅烷+气凝胶+产能释放,605399,17
600227.SH,甲醇+尿素+化肥+煤炭,600227,17
000908.SZ,重整除权+创新药CDMO+合成生物,000908,33
000516.SZ,脑机接口+质子中心+银发经济+民营医院,000516,33
600397.SH,定增收购钨钽资产+磁选设备+江西国资,600397,17
600470.SH,磷化工涨价+精制磷酸+化肥,600470,17
301032.SZ,非道路柴油机+农机+一带一路,301032,33
002717.SZ,国资控股+生态文旅+ST板块,002717,33
688176.SH,希维她上市+APL-1702获批+创新药商业化,688176,17
002165.SZ,环氧丙烷+技改试产+硬泡聚醚,002165,33
000752.SZ,拟全资控股拉萨啤酒+ST重整+业绩预增,000752,33
603778.SH,固态电池+异质结光伏+AI新公司,603778,17
600722.SH,甲醇+风电项目+河北国资,600722,17
002713.SZ,重整完成+算力中心+家装AI,002713,33
002496.SZ,股权转让+氢能源+农药,002496,33
600075.SH,烧碱+PVC+兵团国资,600075,17
000488.SZ,浆纸一体化+复工复产+山东国资,000488,33
002809.SZ,环氧丙烷+化工+混凝土外加剂,002809,33
000601.SZ,电力+生物质发电+抽水蓄能,000601,33
301265.SZ,存储芯片+固废处理+海南自贸港,301265,33
601567.SH,智能电网+荷兰9.49亿订单+康复连锁,601567,17
002843.SZ,数据中心电源+商业航天+锯切龙头,002843,33
002448.SZ,氢能源+人形机器人+气缸套,002448,33
600545.SH,玻璃纤维纱线+AI智慧工厂+纺织机械+回购注销,600545,17
600354.SH,种业+转基因+甘肃国资,600354,17
000609.SZ,房地产+创投+半导体背景,000609,33
603316.SH,存储芯片+企业级SSD+定增扩产,603316,17
605268.SH,安全门锁+数据要素+智能制造+华为概念,605268,17
603813.SH,氢能物流+电商物流+ST博弈,603813,22
600396.SH,电力+绿色电力+央企,600396,17
000534.SZ,燃气轮机零部件+低空经济+航空发动机,000534,33
603158.SH,氢能源+液冷服务器+新能源车热管理,603158,17
002227.SZ,超充网络+特高压+储能微电网,002227,33
601789.SH,算力租赁+宁波国资整合+房屋建设,601789,17
603838.SH,锆钛矿+陶瓷+摘星预期,603838,22
002470.SZ,化肥涨价+磷矿建设+缓控释肥,002470,33
002063.SZ,虚拟电厂+AI应用+智慧能源+央企,002063,33
603097.SH,北美变压器+军工电源+输配电设备,603097,17
001400.SZ,商业航天+3D打印+液冷+铝挤压模具,001400,33
002015.SZ,算电协同+虚拟电厂+分布式光伏,002015,33
603716.SH,脑机接口+AI医疗+SPD,603716,17
002961.SZ,期货经纪+资管高增长+两岸地缘,002961,33
000004.SZ,,000004,33
600645.SH,CAR-T+精准医疗+干细胞新药,600645,17
002667.SZ,控制权变更+碳酸锂+钨锡铅锌+郴州锂矿,002667,33
002512.SZ,,002512,33
600590.SH,氢能源+军工电源+扭亏为盈,600590,17
001696.SZ,无人机+商业航天+业绩高增+氢能源,001696,33
600821.SH,算电协同+绿电+天津国资,600821,17
003023.SZ,电热毯龙头+母婴驱蚊+露营经济+AI营销,003023,33
002261.SZ,华为昇腾+AI算力+鸿蒙+扭亏,002261,33
000669.SZ,,000669,33
000533.SZ,干式变压器+北美出口+算力基建,000533,33
002506.SZ,TOPCon电池+储能系统+光伏组件,002506,33
002913.SZ,AI服务器+可转债扩产+汽车电子,002913,33
002849.SZ,智能燃气+智慧厨房+物联网,002849,33
600825.SH,阶跃星辰（已澄清）+AI语料+上海国资+图书发行,600825,17
600193.SH,退市风险缓解+建筑装饰+算力,600193,22
603021.SH,ST退市博弈+日用玻璃+轻量化技术,603021,22
603285.SH,漆包线漆涂料+锂电材料+环保助剂+回购完成,603285,17
002498.SZ,特高压+电网设备+海上风电,002498,33
002648.SZ,POE新材料+氢能+化工+液冷冷却液,002648,33
000509.SZ,工业母机+面板+双碳+湖北国资,000509,33
002478.SZ,HRSG满产（用于燃机）+特材投产+核电管材,002478,33
600482.SH,燃机(暂未应用数据中心)+氢能源+军工舰船动力+央企,600482,17
001216.SZ,定增注册+越南基地+日用陶瓷+陶瓷新材料,001216,33
301638.SZ,算电协同+数字电网+央企,301638,33
000815.SZ,东数西算+算电协同+扭亏为盈+央企,000815,33
600761.SH,氢能源+工程机械+智能物流+国企改革,600761,17
001896.SZ,参股算力+火电+绿电储备+河南国资,001896,33
002528.SZ,深圳国资+智慧城市+减亏预期,002528,33
002637.SZ,化工板块+表面活性剂+印尼基地,002637,33
